GEOID,ACS_MFRENTALS,ACS_Owners,ACS_SF_Rents,LUPAMS,HCIDLA,LUPAMS_RC,HCIDLA_RC
6037212800,655,492,316,889,888,0,NA
6037212900,1266,164,135,1286,1281,0,NA
6037213100,670,266,0,515,515,0,NA
6037213201,1297,124,78,1250,1267,0,NA
6037213202,912,212,182,1051,1032,0,NA
6037213310,922,84,105,952,954,0,NA
6037213320,808,34,112,858,887,0,NA
6037213401,1698,44,33,1606,1630,0,NA
6037213402,1373,67,26,1495,1519,0,NA
6037214000,454,784,109,590,588,0,NA
6037214100,1072,576,98,1050,1050,0,NA
6037214400,1578,98,25,1767,1775,0,NA
6037214501,1390,33,167,2386,1642,0,NA
6037214502,2376,0,78,3525,2873,0,NA
6037214503,1429,0,128,2404,1619,0,NA
6037214600,895,379,75,1015,1028,0,NA
6037214700,726,434,100,778,779,0,NA
6037214800,1031,325,73,1140,1206,0,NA
6037214901,1513,551,92,1510,1510,0,NA
6037214902,1252,297,39,1298,1301,0,NA
6037215101,1548,94,9,1682,1686,0,NA
6037215102,2001,12,8,2162,2172,0,NA
6037216100,183,662,207,610,613,0,NA
6037216200,1902,617,105,2311,2319,0,NA
6037216300,1429,803,145,1578,1578,0,NA
6037216401,1811,299,0,2047,1945,0,NA
6037216402,1191,192,13,1081,1079,0,NA
6037216700,916,648,89,1071,1072,0,NA
6037216800,771,558,152,1098,1094,0,NA
6037216900,1338,1009,200,1588,1592,0,NA
6037217001,506,426,70,524,526,0,NA
6037217002,1722,566,54,1629,1646,0,NA
6037217100,1280,736,282,1865,1859,0,NA
6037217200,1028,322,227,1276,1284,0,NA
6037218110,761,338,90,911,909,0,NA
6037218120,1061,266,133,1062,1100,0,NA
6037218210,654,305,139,1004,1016,0,NA
6037218220,923,490,165,1031,1034,0,NA
6037218300,1129,722,277,1510,1514,0,NA
6037218400,740,426,298,956,951,0,NA
